CASE_ID,CASE_PARTICIPANT_ID,RECEIVED_DATE,OFFENSE_CATEGORY,DIVERSION_PROGRAM,REFERRAL_DATE,DIVERSION_COUNT,PRIMARY_CHARGE_OFFENSE_TITLE,STATUTE,RACE,GENDER,DIVERSION_RESULT,DIVERSION_CLOSED_DATE
382673022762,710725949269,01/01/2011 12:00:00 AM,Retail Theft,DS,06/17/2013 12:00:00 AM,2,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Male,Graduated,06/17/2013 12:00:00 AM
382673022762,710725949269,01/01/2011 12:00:00 AM,Retail Theft,VC,08/11/2011 12:00:00 AM,1,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Male,,
382676253565,710735386491,01/02/2011 12:00:00 AM,Retail Theft,MHC,09/14/2012 12:00:00 AM,1,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Male,Failed,09/14/2012 12:00:00 AM
382680365495,710746899902,01/03/2011 12:00:00 AM,Narcotics,MHC,07/27/2018 12:00:00 AM,1,[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/ DELIVERY OF A CONTROLLED SUBSTANCE],720 ILCS 570/401(d)(i),Black,Female,,
382680365495,710746994274,01/03/2011 12:00:00 AM,Narcotics,MHC,07/27/2018 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,,
382688736212,710769171745,01/03/2011 12:00:00 AM,Narcotics,DS,01/19/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,Graduated,05/13/2011 12:00:00 AM
382696666364,710792198566,01/03/2011 12:00:00 AM,Narcotics,DS,01/18/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Male,Graduated,05/13/2011 12:00:00 AM
382696813219,710792670427,01/03/2011 12:00:00 AM,Narcotics,DS,01/20/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Black,Male,Graduated,05/13/2011 12:00:00 AM
382696960073,710792764800,01/01/2011 12:00:00 AM,Narcotics,DS,03/03/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Black,Male,Graduated,03/03/2011 12:00:00 AM
382697400637,710793802894,01/02/2011 12:00:00 AM,Narcotics,DS,07/26/2011 12:00:00 AM,1,[POSSESSION OF CANNABIS WITH INTENT TO DELIVER/DELIVERY OF CANNABIS],720 ILCS 550/5(c),Black,Male,,
382699750312,710800597694,01/03/2011 12:00:00 AM,Narcotics,DS,11/26/2012 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Female,Graduated,02/13/2013 12:00:00 AM
382705918208,710823341398,01/04/2011 12:00:00 AM,Narcotics,DS,01/19/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Female,Graduated,05/13/2011 12:00:00 AM
382706946191,710826266937,01/04/2011 12:00:00 AM,Narcotics,DS,01/19/2011 12:00:00 AM,1,POSSESSION OF CANNABIS,720 ILCS 550/4(d),Black,Male,Failed,05/13/2011 12:00:00 AM
382709736430,710835515414,01/04/2011 12:00:00 AM,Narcotics,DS,01/20/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,Graduated,05/13/2011 12:00:00 AM
382709736430,710835609786,01/04/2011 12:00:00 AM,Narcotics,DS,01/20/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Female,Graduated,05/13/2011 12:00:00 AM
382717519727,710856466047,01/04/2011 12:00:00 AM,Narcotics,DS,01/18/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,Graduated,05/13/2011 12:00:00 AM
382719135129,710860146563,01/04/2011 12:00:00 AM,Narcotics,DS,05/12/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Male,Graduated,05/12/2011 12:00:00 AM
382719869402,710863355219,01/04/2011 12:00:00 AM,Narcotics,DS,01/20/2011 12:00:00 AM,1,POSSESSION OF CANNABIS,720 ILCS 550/4(d),Black,Male,Graduated,05/13/2011 12:00:00 AM
382725743589,710884683340,01/04/2011 12:00:00 AM,Narcotics,DS,01/25/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Female,,
382725890444,710885532690,01/01/2011 12:00:00 AM,Narcotics,DC,08/09/2012 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Female,,
382730442939,710900254756,01/04/2011 12:00:00 AM,Retail Theft,DC,06/28/2011 12:00:00 AM,1,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Male,Failed,06/18/2013 12:00:00 AM
382736610835,710919884177,01/05/2011 12:00:00 AM,Narcotics,DS,04/14/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Male,Graduated,07/25/2011 12:00:00 AM
382738079381,710925735255,01/05/2011 12:00:00 AM,Narcotics,DS,01/26/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Female,Graduated,05/27/2011 12:00:00 AM
382741310184,710935833082,01/05/2011 12:00:00 AM,Narcotics,DC,03/13/2013 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Black,Male,,
382741897603,710937437410,01/05/2011 12:00:00 AM,Narcotics,DS,01/26/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Latinx,Male,Graduated,05/27/2011 12:00:00 AM
382744540987,710946780259,01/05/2011 12:00:00 AM,Narcotics,ARI,09/09/2013 12:00:00 AM,1,[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE],720 ILCS 570/401(c)(1),Black,Female,Failed,07/29/2014 12:00:00 AM
382747771790,710954518781,01/05/2011 12:00:00 AM,Retail Theft,DC,03/14/2011 12:00:00 AM,1,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Female,,
382750268319,710958576786,01/05/2011 12:00:00 AM,Narcotics,DS,01/27/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,Failed,05/27/2011 12:00:00 AM
382753205413,710963484142,01/03/2011 12:00:00 AM,Narcotics,DS,08/05/2011 12:00:00 AM,1,POSSESSION OF CANNABIS,720 ILCS 550/4(d),White,Male,Graduated,08/05/2011 12:00:00 AM
382764072658,711002082379,01/06/2011 12:00:00 AM,Narcotics,DS,01/27/2011 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),White,Male,Graduated,05/27/2011 12:00:00 AM
382775086759,711032942094,01/06/2011 12:00:00 AM,Narcotics,BR9,04/04/2012 12:00:00 AM,1,POSSESSION OF A CONTROLLED SUBSTANCE,720 ILCS 570/402(c),Black,Male,Graduated,04/04/2012 12:00:00 AM
382792562465,711087300491,01/07/2011 12:00:00 AM,Narcotics,ARI,02/27/2012 12:00:00 AM,1,[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE],720 ILCS 570/401(c)(1),Black,Male,Graduated,03/18/2013 12:00:00 AM
382792562465,711087394864,01/07/2011 12:00:00 AM,Narcotics,ARI,02/27/2012 12:00:00 AM,1,[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE],720 ILCS 570/401(c)(1),Black,Male,Graduated,03/18/2013 12:00:00 AM
382795058994,711096077108,01/07/2011 12:00:00 AM,Narcotics,ARI,04/17/2012 12:00:00 AM,1,[POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER/DELIVERY OF A CONTROLLED SUBSTANCE],720 ILCS 570/407(b)(1),Black,Male,Failed,01/08/2013 12:00:00 AM
382796674396,711100606974,01/07/2011 12:00:00 AM,Identity Theft,BR9,05/30/2012 12:00:00 AM,1,IDENTITY THEFT,720 ILCS 5/16G-15(a)(1),Black,Female,Graduated,05/30/2012 12:00:00 AM
382808275915,711133165389,01/09/2011 12:00:00 AM,Retail Theft,MHC,04/13/2012 12:00:00 AM,1,RETAIL THEFT,720 ILCS 5/16A-3(a),Black,Female,Graduated,05/08/2015 12:00:00 AM
382808863333,711134675345,01/09/2011 12:00:00 AM,Other Offense,DC,07/26/2011 12:00:00 AM,1,UNLAWFUL USE OF UNIDENTIFIED SOUND OR AUDIO VISUAL RECORDINGS,720 ILCS 5/16-8,Black,Male,,
